"sequence","excel_row","raw_name","standard_name","item_group","specs","unit","status","question"
"3606","3611","砂纸","砂纸","磨具磨料/砂纸","类型: 砂纸","张","待确认","目数/材质/尺寸缺失"
"3612","3618","泥桶","泥桶","施工工具/桶具","用途: 泥桶","个","待确认","材质/容量缺失"
"3613","3619","轴承","轴承","机械传动/轴承","类型: 轴承","个","待确认","型号/品牌/精度等级缺失"
"3620","3626","蛇皮袋","蛇皮袋","包装材料/编织袋","类型: 蛇皮袋","条","待确认","尺寸/承重/材质缺失"
"3621","3627","钢丝绳扣6","钢丝绳扣","吊装索具/绳扣","规格: 6","只","待确认","规格单位/适配钢丝绳直径/材质缺失"
"3622","3628","钢丝绳扣8","钢丝绳扣","吊装索具/绳扣","规格: 8","只","待确认","规格单位/适配钢丝绳直径/材质缺失"
"3626","3632","淘喜除绣灵450mL","除锈剂","化工辅料/除锈剂","品牌: 淘喜；原始: 除绣灵；容量: 450mL","瓶","待确认","`除绣灵`疑似除锈灵，SDS/型号缺失"
"3637","3643","抹布","抹布","清洁用品/抹布","类型: 抹布","KG","待确认","材质/尺寸缺失，单位按重量需确认"
"3647","3653","救生衣","救生衣","安全防护/救生用品","类型: 救生衣","件","待确认","浮力等级/尺码/认证标准缺失"
"3648","3654","架子管6m","脚手架钢管","建筑周转材料/脚手架","长度: 6m","根","待确认","管径/壁厚/材质缺失"
