编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00207	彩条布	规格: 12*30米	工程材料/篷布油布	平方	12*30米彩条布	
REVIEW-MAT-00208	漏电保护器	品牌: 德力西；电流: 400A；极数: 4P	电气材料/低压电器	个	400A4P德力西漏电保护器	
REVIEW-MAT-00209	漏电保护器	品牌: 德力西；电流: 250A；极数: 4P	电气材料/低压电器	个	250A4P德力西漏电保护器	
REVIEW-MAT-00210	太阳能4G摄像头	供电: 太阳能；通信: 4G；清晰度: 4K	电气材料/安防监控	个	太阳能4G4K摄像头	品牌/存储规格缺失
REVIEW-MAT-00211	不锈钢名牌	定制: 是；材质: 不锈钢；规格: 120*60	定制件/标识铭牌	个	定做不锈钢名牌120*60	状态：可建档-定制件；图文内容不作为物料规格
REVIEW-MAT-00212	不锈钢名牌	定制: 是；材质: 不锈钢；规格: 100*80	定制件/标识铭牌	个	定做不锈钢名牌100*80	状态：可建档-定制件；图文内容不作为物料规格
REVIEW-MAT-00213	不锈钢名牌	定制: 是；材质: 不锈钢；规格: 30*60	定制件/标识铭牌	个	定做不锈钢名牌30*60	状态：可建档-定制件；图文内容不作为物料规格
REVIEW-MAT-00214	热水器隔电堵	用途: 热水器；功能: 隔电	工程材料/水暖五金	个	热水器隔电堵	接口规格缺失
REVIEW-MAT-00215	热水器安全阀	用途: 热水器；类型: 安全阀	工程材料/阀门	个	热水器安全阀	接口规格缺失
REVIEW-MAT-00216	水龙头花洒套装	类型: 水龙头+花洒	工程材料/水暖五金	个	水龙头花洒	状态：可合并/单位待统一；与第102行同物料，单位套/个需统一
REVIEW-MAT-00217	喷漆	品牌: 三和；颜色: 黄色	化工耗材/涂料	支	三和黄色喷漆	
REVIEW-MAT-00218	喷漆	品牌: 三和；颜色: 天蓝色	化工耗材/涂料	支	三和天蓝色喷漆	
REVIEW-MAT-00219	高粱扫把	材质: 高粱；规格: 小	清洁用品/清洁工具	个	高粱小扫把	
REVIEW-MAT-00220	帆布手套	特征: 加厚、双层	劳保耗材/手套	双	加厚双层帆布手套	状态：可合并；与第130行相近
REVIEW-MAT-00221	螺丝	规格: 8*30	五金备件/紧固件	套	8*30螺丝	材质/强度等级缺失
REVIEW-MAT-00222	螺丝	规格: 16*30	五金备件/紧固件	套	16*30螺丝	材质/强度等级缺失
REVIEW-MAT-00223	螺丝	规格: 12*60	五金备件/紧固件	套	12*60螺丝	材质/强度等级缺失
REVIEW-MAT-00224	不锈钢挂锁	材质: 不锈钢；规格: 40；品质: 好	五金备件/锁具	个	40好不锈钢挂锁	“好”是否作为质量等级保留？
REVIEW-MAT-00225	不锈钢通用挂锁	材质: 不锈钢；规格: 40；品质: 好；类型: 通用	五金备件/锁具	个	40好不锈钢通用挂锁	与第395行是否同物料需确认
REVIEW-MAT-00226	螺丝	规格: 12*50	五金备件/紧固件	套	12*50螺丝	状态：可建档 | 可合并；材质/强度等级缺失 | 与第397行同物料
REVIEW-MAT-00227	切割片	规格: 100	工具器具/磨切耗材	块	100切割片	厚度/适用材质缺失
REVIEW-MAT-00228	磨光片	规格: 100	工具器具/磨切耗材	块	100磨光片	粒度/适用材质缺失
REVIEW-MAT-00229	乳胶手套	材质: 乳胶；特征: 加厚	劳保耗材/手套	双	加厚乳胶手套	
REVIEW-MAT-00230	牛筋手套	材质/类型: 牛筋；特征: 加厚	劳保耗材/手套	双	牛筋加厚手套	状态：可建档 | 可合并；与第401行同物料
REVIEW-MAT-00231	防护眼镜	颜色: 透明	劳保耗材/眼面防护	付	透明防护眼镜	
REVIEW-MAT-00232	美工刀	类型: 美工刀	工具器具/手动工具	支	美工刀	状态：可合并；与第185行同类，品牌缺失
REVIEW-MAT-00233	高压水枪过滤总成	适用设备: 高压水枪；类型: 过滤总成	设备备件/清洗设备配件	套	高压水枪过滤总成	型号缺失
REVIEW-MAT-00234	高压水枪滤芯	适用设备: 高压水枪；类型: 滤芯	设备备件/滤芯	个	高压水枪滤芯	型号缺失
REVIEW-MAT-00235	垫片	定制: 是；规格: 12*600*5	定制件/金属加工件	个	定做12*600*5垫片	状态：可建档-定制件；材质/图纸缺失
REVIEW-MAT-00236	碘伏	容量: 500ml	劳保耗材/急救用品	瓶	碘伏500ml	
REVIEW-MAT-00237	止血贴	类型: 创可贴/止血贴	劳保耗材/急救用品	张	止血贴	状态：可建档-低精度；包装规格缺失
REVIEW-MAT-00238	医用绷带	类型: 绷带	劳保耗材/急救用品	卷	绷带	状态：可建档-低精度；宽度/长度缺失
REVIEW-MAT-00239	插头	品牌: 公牛；电流: 10A	电气材料/插头插座	个	10A公牛插头	状态：可建档 | 可合并；二插/三插缺失 | 与第418行同类，二插/三插需确认
REVIEW-MAT-00240	纯棉白布	材质: 纯棉；颜色: 白色	劳保耗材/擦拭材料	KG	纯棉大白布 | 纯棉白布	状态：可建档 | 可合并；幅宽/等级缺失 | 与第419行同物料，幅宽/等级缺失
REVIEW-MAT-00241	毛刷	规格: 3寸	工具器具/涂装工具	个	3寸 毛刷	材质/柄型缺失
REVIEW-MAT-00242	羊毛刷	规格: 4寸；材质: 羊毛	工具器具/涂装工具	个	4寸羊毛刷	
REVIEW-MAT-00243	一次性口罩	类型: 一次性	劳保耗材/呼吸防护	个	一次性口罩	状态：可建档-低精度 | 可合并；医用/工业/防护等级缺失 | 与第422行同物料，防护等级缺失 | 与第825行同物料，防护等级缺失
REVIEW-MAT-00244	旋转吊环	载荷: 8吨；类型: 旋转	吊装索具/吊环	个	8吨旋转吊环	螺纹规格缺失
REVIEW-MAT-00245	防锈漆	颜色: 铁红；类型: 防锈漆	化工耗材/涂料	桶	铁红防锈漆	包装重量/品牌缺失
REVIEW-MAT-00246	不锈钢卡扣接头	规格: DN6*6；材质: 不锈钢	气动/高压管路	个	DN6*6不锈钢卡扣接头	压力等级缺失
REVIEW-MAT-00247	不锈钢卡扣接头	规格: DN6*10；材质: 不锈钢	气动/高压管路	个	DN6*10不锈钢卡扣接头	压力等级缺失
REVIEW-MAT-00248	松香水	类型: 稀释剂/清洗剂	化工耗材/稀释清洗	桶	松香水	状态：可建档-低精度 | 可合并；包装容量/品牌缺失 | 与第430行同物料，包装容量缺失 | 与第430、475行同物料，包装容量缺失 | 与第534行同物料，包装缺失 | 与前文同物料，包装缺失 | 与第1123行同物料
REVIEW-MAT-00249	百叶砂轮片	规格: 4寸	工具器具/磨切耗材	块	4寸百叶砂轮片	粒度/材质缺失
REVIEW-MAT-00250	割枪	规格: 30号	焊接耗材/焊割工具	支	30号割枪	气体类型/品牌缺失
REVIEW-MAT-00251	割嘴	规格: 30号	焊接耗材/焊割配件	个	30号割嘴	气体类型/孔径缺失
REVIEW-MAT-00252	三脚插头	品牌: 公牛；电流: 10A；类型: 三插	电气材料/插头插座	个	10A公牛三插	
REVIEW-MAT-00253	毛刷	规格: 4寸	工具器具/涂装工具	支	4寸毛刷	状态：可合并；与第421行同类，单位需统一
REVIEW-MAT-00254	不锈钢加长接头	规格: 8*6；材质: 不锈钢；特征: 加长	气动/高压管路	个	8*6不锈钢加长接头	连接形式/压力等级缺失
REVIEW-MAT-00255	不锈钢加长弯头	规格: 8*6；材质: 不锈钢；特征: 加长；类型: 弯头	气动/高压管路	个	8*6不锈钢加长弯头	连接形式/压力等级缺失
REVIEW-MAT-00256	链条扳手	类型: 链条扳手	工具器具/手动工具	个	链条扳手	状态：可建档-低精度；规格/夹持范围缺失
REVIEW-MAT-00257	碳棒	直径: 6mm	焊接耗材/气刨耗材	支	碳棒6MM	包装规格缺失
REVIEW-MAT-00258	吨袋	规格: 大号	包装材料/吨袋	个	大吨袋	状态：可建档-低精度 | 可合并；容量/尺寸/承重缺失 | 与第442行同类，承重/尺寸缺失
REVIEW-MAT-00259	铁丝	规格: 12号	五金备件/金属丝材	KG	12号铁丝 | 12铁丝	状态：可建档 | 可合并；材质/镀锌与否缺失 | 与第622行同物料，材质/镀锌缺失 | 与第773行同物料
REVIEW-MAT-00260	铁丝	规格: 14号	五金备件/金属丝材	KG	14号铁丝 | 14铁丝	状态：可建档 | 可合并；材质/镀锌与否缺失 | 与第623行同物料
REVIEW-MAT-00261	调和漆	颜色: 白色；类型: 调和漆	化工耗材/涂料	桶	白色调和油漆	状态：可建档 | 可合并；包装重量/品牌缺失 | 与第446行同物料，包装需统一 | 与第446、470行同物料，包装需统一 | 与前文同物料，包装需统一 | 与前文同物料，包装缺失 | 与第1122行同物料
REVIEW-MAT-00262	不锈钢卡套接头	规格: 6*8；材质: 不锈钢	气动/高压管路	个	卡6*8不锈钢接头	状态：可建档 | 可合并；“卡”是否为卡套需确认 | 与第447行同物料
REVIEW-MAT-00263	不锈钢卡套接头	规格: 6*12；材质: 不锈钢	气动/高压管路	个	卡6*12不锈钢接头	状态：可建档 | 可合并；“卡”是否为卡套需确认 | 与第448行同物料
REVIEW-MAT-00264	不锈钢黄油嘴接头	材质: 不锈钢；类型: 接头	润滑系统/黄油嘴配件	个	不锈钢黄油嘴接头	螺纹规格缺失
REVIEW-MAT-00265	不锈钢黄油嘴弯头	材质: 不锈钢；类型: 弯头	润滑系统/黄油嘴配件	个	不锈钢黄油嘴弯头	螺纹规格/角度缺失
REVIEW-MAT-00266	高压加厚接头	定制: 是；规格: 52；特征: 加厚	定制件/液压接头	个	定做52高压加厚接头	状态：可建档-定制件；图纸/螺纹/压力等级缺失
REVIEW-MAT-00267	鱼尾螺丝	规格: M10*60	五金备件/紧固件	套	M10*60鱼尾螺丝	材质/强度等级缺失
REVIEW-MAT-00268	鱼尾螺丝	规格: M14*70	五金备件/紧固件	套	M14*70鱼尾螺丝	材质/强度等级缺失
REVIEW-MAT-00269	鱼尾螺丝	规格: M16*90	五金备件/紧固件	套	M16*90鱼尾螺丝	材质/强度等级缺失
REVIEW-MAT-00270	角钢	规格: 50*50*6；标准: 国标	原材料/型钢	米	50*50*6国标角铁	状态：可建档 | 可合并；材质牌号缺失 | 与第464行同物料，材质牌号仍缺 | 与第572行同物料，材质牌号仍缺
REVIEW-MAT-00271	电焊钳	电流: 500A	焊接耗材/焊割工具	把	500A电焊钳	品牌缺失
REVIEW-MAT-00272	电焊钳	电流: 800A	焊接耗材/焊割工具	把	800A电焊钳	状态：可建档 | 可合并；品牌缺失 | 与第466行同物料
REVIEW-MAT-00273	电焊线	品牌: 起帆；截面积: 35平方	电气材料/电线电缆	米	35平方起帆电焊线	芯数/材质缺失
REVIEW-MAT-00274	电焊线	品牌: 起帆；截面积: 50平方	电气材料/电线电缆	米	50平方起帆电焊线	芯数/材质缺失
REVIEW-MAT-00275	医用胶带	类型: 医用胶带	劳保耗材/急救用品	卷	医用胶带	状态：可建档-低精度；宽度/长度缺失
REVIEW-MAT-00276	锂电角磨机	品牌: 大艺；供电: 锂电池	工具器具/电动工具	台	大艺锂电池角磨机	电压/电池容量/规格缺失
REVIEW-MAT-00277	砂纸	粒度: 600	工具器具/磨切耗材	张	600砂纸	尺寸缺失
REVIEW-MAT-00278	砂纸	粒度: 80	工具器具/磨切耗材	张	80砂纸	尺寸缺失
REVIEW-MAT-00279	钢丝绳	直径: 6mm	吊装索具/钢丝绳	米	6MM钢丝绳	结构/强度等级缺失
REVIEW-MAT-00280	钢丝绳卡扣	适配直径: 6mm	吊装索具/钢丝绳配件	个	6MM钢丝绳扣子	材质/形式缺失
REVIEW-MAT-00281	卡箍丝牙接头	加工: 是；规格: 60；连接: 一头卡箍一头丝牙；特征: 加厚	定制件/管路接头	个	加工加厚60一头卡箍一头丝牙	状态：可建档-定制件；图纸/材质/压力等级缺失
REVIEW-MAT-00282	双头抱箍接头	加工: 是；规格: 60；连接: 两头抱箍；特征: 加厚	定制件/管路接头	个	加工加厚60两头抱箍	状态：可建档-定制件；图纸/材质/压力等级缺失
REVIEW-MAT-00283	三通抱箍	加工: 是；长度: 1.15米；特征: 加厚；类型: 三通抱箍	定制件/管路接头	根	加工加厚1.15米三通抱箍	状态：可建档-定制件；图纸/口径/材质缺失
REVIEW-MAT-00284	不锈钢条	规格: 65*20*1	原材料/不锈钢材料	条	65*20*1不锈钢条	材质牌号/长度缺失
REVIEW-MAT-00285	骑马螺丝	规格: 14*75	五金备件/紧固件	套	14*75骑马螺丝	材质/强度等级缺失
REVIEW-MAT-00286	不锈钢卡套三通	规格: 6*12；材质: 不锈钢；类型: 三通	气动/高压管路	个	卡6*12不锈钢三通	连接形式/压力等级缺失
REVIEW-MAT-00287	重油污清洗剂	用途: 重油污清洗	化工耗材/清洗剂	KG	重油污清洗剂	品牌/浓度/包装缺失
REVIEW-MAT-00288	自封袋	规格: 10#	包装材料/自封袋	个	10#自封袋	
REVIEW-MAT-00289	毛刷	规格: 2寸	工具器具/涂装工具	个	2寸毛刷	材质缺失
REVIEW-MAT-00290	电缆防水接头	规格: M50	电气材料/电缆附件	个	M50电缆防水接头	材质/IP等级缺失
REVIEW-MAT-00291	电缆防水接头	规格: M40	电气材料/电缆附件	个	M40电缆防水接头	材质/IP等级缺失
REVIEW-MAT-00292	电缆防水接头	规格: M32	电气材料/电缆附件	个	M32电缆防水接头	材质/IP等级缺失
REVIEW-MAT-00293	自喷漆	品牌: 三和；颜色: 灰色；类型: 自喷漆	化工耗材/涂料	瓶	灰色三和喷漆	容量缺失
REVIEW-MAT-00294	自喷漆	品牌: 三和；颜色: 黑色；类型: 自喷漆	化工耗材/涂料	瓶	黑色三和喷漆	容量缺失
REVIEW-MAT-00295	脱漆剂	类型: 高效脱漆剂	化工耗材/清洗剂	瓶	高效脱漆剂	状态：可建档-低精度；品牌/容量/成分缺失
REVIEW-MAT-00296	门锁	用途: 大门	五金备件/锁具	把	大门锁	状态：可建档-低精度；规格/锁体类型缺失
REVIEW-MAT-00297	电力清洗剂	用途: 电力设备清洗	化工耗材/清洗剂	KG	电力清洗剂	品牌/绝缘等级/包装缺失
REVIEW-MAT-00298	多点黄油泵	容量: 8升；出口数: 4出口	润滑系统/油脂泵	台	8升4出口多点黄油泵	电压/驱动方式/品牌缺失
REVIEW-MAT-00299	AB胶	品牌/型号: 卡夹特；类型: AB胶	化工耗材/胶粘剂	套	卡夹特AB胶	包装容量/配比缺失
REVIEW-MAT-00300	气泡膜	特征: 加厚	包装材料/缓冲包装	米	加厚气泡膜	状态：可建档 | 可合并；宽度/厚度缺失 | 与第512行同物料，宽度/厚度仍缺
REVIEW-MAT-00301	不锈钢数字牌	定制: 是；材质: 不锈钢；尺寸: 20cm	定制件/标识铭牌	个	定做不锈钢数字牌20cm	状态：可建档-定制件；字号内容/厚度缺失
REVIEW-MAT-00302	高压弯头	定制: 是；规格: 6x1.5；类型: 弯头	定制件/液压接头	个	定做 6x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00303	高压弯头	定制: 是；规格: 10x1.5；类型: 弯头	定制件/液压接头	个	定做 10x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00304	高压弯头	定制: 是；规格: 13x1.5；类型: 弯头	定制件/液压接头	个	定做 13x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00305	高压弯头	定制: 是；规格: 16x1.5；类型: 弯头	定制件/液压接头	个	定做 16x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00306	高压弯头	定制: 是；规格: 19x1.5；类型: 弯头	定制件/液压接头	个	定做 19x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00307	高压弯头	定制: 是；规格: 25x1.5；类型: 弯头	定制件/液压接头	个	定做 25x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00308	高压弯头	定制: 是；规格: 32x1.5；类型: 弯头	定制件/液压接头	个	定做 32x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00309	高压弯头	定制: 是；规格: 38x1.5；类型: 弯头	定制件/液压接头	个	定做 38x1.5高压弯头	状态：可建档-定制件；螺纹/角度/压力等级缺失
REVIEW-MAT-00310	保鲜膜	规格: 大卷	包装材料/薄膜	件	保鲜膜大卷	状态：可建档-低精度；宽度/长度/厚度缺失
REVIEW-MAT-00311	调和漆	颜色: 黄色；类型: 调和漆	化工耗材/涂料	桶	黄色调和漆	状态：可建档 | 可合并；包装重量/品牌缺失 | 与第532行同物料，包装缺失 | 与第902行同物料，包装缺失 | 与第922行同物料
REVIEW-MAT-00312	调和漆	颜色: 铁红；类型: 调和漆	化工耗材/涂料	桶	铁红调和漆	包装重量/品牌缺失
REVIEW-MAT-00313	高压卡箍双丝牙接头	定制: 是；规格: 52；特征: 高压加厚；连接: 卡箍+双丝牙	定制件/管路接头	个	定做高压加厚52米卡箍双丝牙	状态：可建档-定制件；“52米”应为52mm？图纸/材质缺失
REVIEW-MAT-00314	玻璃胶	颜色: 白色	化工耗材/胶粘剂	支	白色玻璃胶	容量/品牌/酸性或中性缺失
REVIEW-MAT-00315	588密封胶	型号: 588	化工耗材/胶粘剂	支	588胶	状态：可建档-低精度；品牌/颜色/容量缺失
REVIEW-MAT-00316	记号笔	颜色: 白色	办公/标识耗材	支	白色记号笔	状态：可合并；与前文多次同物料，品牌需统一
REVIEW-MAT-00317	轴承钢钢套	定制: 是；材质: 轴承钢；特征: 加厚	定制件/金属加工件	套	定做加厚轴承钢钢套	状态：可建档-定制件；图纸/尺寸/热处理要求缺失
REVIEW-MAT-00318	方钢	规格: 40*80；特征: 加厚	原材料/型钢	米	40*80加厚方钢	壁厚/材质缺失
REVIEW-MAT-00319	四方接头	加工: 是；类型: 内外四方接头	定制件/管路接头	个	加工内外四方接头	状态：可建档-定制件；图纸/规格/材质缺失
REVIEW-MAT-00320	不锈钢标志牌	定制: 是；材质: 不锈钢	定制件/标识铭牌	块	定做不锈钢标志牌	状态：可建档-定制件；尺寸/内容/厚度缺失
REVIEW-MAT-00321	不锈钢铭牌	定制: 是；尺寸: 250*180；材质: 不锈钢	定制件/标识铭牌	块	定做250*180不锈钢铭牌	状态：可建档-定制件；厚度/内容/表面工艺缺失
REVIEW-MAT-00322	五点式安全带	类型: 五点式；款式: 欧式	劳保耗材/坠落防护	套	五点式欧式安全带	执行标准/承载等级缺失
REVIEW-MAT-00323	内六角螺丝	规格: 10*40；类型: 内六角	五金备件/紧固件	套	10*40内六角	材质/强度等级缺失
REVIEW-MAT-00324	内六角螺丝	规格: 16*50；类型: 内六角	五金备件/紧固件	套	16*50内六角	材质/强度等级缺失
