候选词	建议物料族	处理建议	置信度	覆盖SKU数	覆盖标准名称数	当前物料族数	是否跨一级类目	主要分类	当前物料族	样例标准名称	样例SKU	说明
定制管路接头	定制管路接头	可人工复核为物料族	medium	60	37	1	否	定制加工件/管路接头:60	定制管路接头	PE管卡箍组件；PVC管加工件；三通抱箍；内外四方接头；加厚卡槽；加厚卡箍；加长弯头；单头外丝无缝管加工件；卡槽弯头；卡槽钢圈接头；卡箍丝牙接头；卡箍接头	PIPE-000046 高压加厚接头 定制：是；规格：52；特征：加厚；PIPE-000047 卡箍丝牙接头 加工：是；规格：60；连接：一头卡箍一头丝牙；特征：加厚；PIPE-000048 双头抱箍接头 加工：是；规格：60；连接：两头抱箍；特征：加厚；PIPE-000049 三通抱箍 加工：是；长度：1.15米；特征：加厚；类型：三通抱箍；PIPE-000051 高压弯头 定制：是；规格：6x1.5；类型：弯头；PIPE-000052 高压弯头 定制：是；规格：10x1.5；类型：弯头；PIPE-000053 高压弯头 定制：是；规格：13x1.5；类型：弯头；PIPE-000054 高压弯头 定制：是；规格：16x1.5；类型：弯头	覆盖数量较多且分类集中。
扳手	扳手	可人工复核为物料族	medium	35	18	18	是	工具量具/手动工具:31；电动气动工具/气动工具:2；工具量具/液压工具:1；工具量具/工具套装:1	T型套筒扳手套装；三叉套筒扳手；两用扳手；内六角扳手；内六角扳手套装；固定扳手；大开口活动扳手；开口/梅花扳手；开口梅花扳手套装；扳手；梅花双用扳手；梅花开口两用扳手	T型套筒扳手套装；三叉套筒扳手；两用扳手；内六角扳手；内六角扳手套装；固定扳手；大开口活动扳手；开口/梅花扳手；开口梅花扳手套装；扳手；梅花双用扳手；梅花开口两用扳手	TOOL-000028 内六角扳手 规格：19；TOOL-000039 链条扳手 类型：链条扳手；TOOL-000117 活动扳手 品牌：世达；类型：活动扳手；TOOL-000131 内六角扳手套装 品牌：世达；类型：六角扳手套装；TOOL-000132 开口/梅花扳手 规格：42号；TOOL-000133 开口/梅花扳手 规格：12号；TOOL-000134 开口/梅花扳手 规格：19号；TOOL-000135 电动扳手套筒 规格：12号；适用：电动扳手	多个标准名称以该词结尾，形态接近物料族。
加工件	加工件	可人工复核为物料族	medium	29	23	15	否	定制加工件/金属加工件:12；定制加工件/管路接头:10；定制加工件/钢筋加工件:5；定制加工件/橡胶加工件:1；定制加工件/图纸件:1	六联管夹加工件；夹板加工件；定制管路接头；抱箍加工件；方柱加工件；无缝管加工件；橡胶加工件；螺纹钢筋加工件；角钢加工件；重型管夹加工件；钢板加工件；钢筋加工件	PVC管加工件；六联管夹加工件；单头外丝无缝管加工件；双外丝无缝管加工件；夹板加工件；带牙钢管加工件；带牙铁管加工件；抱箍加工件；方柱加工件；无缝管加工件；橡胶加工件；水管加工件	SPARE-000035 钢板加工件 加工：是；尺寸：300*270*16；SPARE-000036 夹板加工件 加工：是；尺寸：94*33*3；METAL-000038 钢筋加工件 加工：是；钢筋规格：12；长度：1.6米；METAL-000039 钢筋加工件 加工：是；钢筋规格：12；长度：11.93米；METAL-000040 钢筋加工件 加工：是；钢筋规格：12；长度：12.94米；PIPE-000104 带牙钢管加工件 加工：是；规格：89；工序：带牙；PIPE-000106 带牙钢管加工件 加工：是；规格：80；工序：带牙；PIPE-000122 带牙铁管加工件 加工：是；规格：80*150；工序：带牙	多个标准名称以该词结尾，形态接近物料族。
工件	工件	可人工复核为物料族	medium	29	23	15	否	定制加工件/金属加工件:12；定制加工件/管路接头:10；定制加工件/钢筋加工件:5；定制加工件/橡胶加工件:1；定制加工件/图纸件:1	六联管夹加工件；夹板加工件；定制管路接头；抱箍加工件；方柱加工件；无缝管加工件；橡胶加工件；螺纹钢筋加工件；角钢加工件；重型管夹加工件；钢板加工件；钢筋加工件	PVC管加工件；六联管夹加工件；单头外丝无缝管加工件；双外丝无缝管加工件；夹板加工件；带牙钢管加工件；带牙铁管加工件；抱箍加工件；方柱加工件；无缝管加工件；橡胶加工件；水管加工件	SPARE-000035 钢板加工件 加工：是；尺寸：300*270*16；SPARE-000036 夹板加工件 加工：是；尺寸：94*33*3；METAL-000038 钢筋加工件 加工：是；钢筋规格：12；长度：1.6米；METAL-000039 钢筋加工件 加工：是；钢筋规格：12；长度：11.93米；METAL-000040 钢筋加工件 加工：是；钢筋规格：12；长度：12.94米；PIPE-000104 带牙钢管加工件 加工：是；规格：89；工序：带牙；PIPE-000106 带牙钢管加工件 加工：是；规格：80；工序：带牙；PIPE-000122 带牙铁管加工件 加工：是；规格：80*150；工序：带牙	多个标准名称以该词结尾，形态接近物料族。
六角	六角	可人工复核为物料族	medium	26	11	5	是	紧固件与连接件/螺丝:15；工具量具/手动工具:10；管材管件阀门/直接:1	内六角扳手；内六角扳手套装；加长六角套筒；直接/接头；螺丝	六角自攻螺丝；六角螺丝；六角螺栓组件；内六角扳手；内六角扳手套装；内六角螺丝；内六角螺丝套件；内六角螺栓；加长六角套筒；加长六角螺丝；镀锌外丝六角直接	TOOL-000028 内六角扳手 规格：19；SPARE-000031 内六角螺丝 规格：10*40；类型：内六角；SPARE-000032 内六角螺丝 规格：16*50；类型：内六角；SPARE-000045 六角螺丝 规格：10*40；类型：六角；SPARE-000061 六角自攻螺丝 规格：6；类型：六角自攻；FAST-000013 六角螺栓组件 规格：M22*100；成套：是；类型：六角；TOOL-000131 内六角扳手套装 品牌：世达；类型：六角扳手套装；FAST-000025 内六角螺丝 规格：M8*45；头型：内六角	覆盖数量较多且分类集中。
套件	套件	可人工复核为物料族	medium	24	11	4	是	紧固件与连接件/螺丝:20；安全消防/消防管件:2；电气电料/电气辅材:1；设备备件/通用机械备件:1	劳动车轮胎套件；接地桩套件；消防枪头管接头套件；螺丝	T型螺丝套件；不锈钢螺丝套件；内六角螺丝套件；劳动车轮胎套件；圆头螺丝套件；接地桩套件；消防枪头管接头套件；螺丝套件；镀锌螺丝套件；高强度全螺纹螺丝套件；高强度螺丝套件	FAST-000068 T型螺丝套件 螺丝规格：M16*50；套件组成：平垫+弹垫+螺母；FAST-000069 T型螺丝套件 螺丝规格：M16*100；套件组成：平垫+弹垫+螺母；FAST-000074 螺丝套件 规格：M8*20；类型：螺丝；FAST-000084 螺丝套件 强度等级：8.8；规格：M10*80；套件组成：平垫+弹垫；FAST-000087 镀锌螺丝套件 表面：镀锌；规格：M12*30；FAST-000090 螺丝套件 强度等级：8.8；规格：M16*70；表面：镀锌；套件组成：平垫+弹垫；FAST-000091 螺丝套件 强度等级：8.8；规格：M16*130；套件组成：平垫+弹垫；FAST-000093 螺丝套件 强度等级：8.8；规格：M16*60；套件组成：平垫+弹垫	多个标准名称以该词结尾，形态接近物料族。
套装	套装	可人工复核为物料族	medium	24	23	23	是	工具量具/手动工具:4；电动气动工具/电动工具:3；焊接切割/焊割工具:2；管材管件阀门/水暖五金:1；劳保防护/雨具:1；工具量具/液压工具:1	O型圈套装；T型套筒扳手套装；内六角扳手套装；冲凿套装；十字批头套装；太阳能4G监控套装；开口梅花扳手套装；振动电机套装；桶装水抽水器套装；气动接头；水龙头花洒套装；液压扳手套装	O型圈套装；T型套筒扳手套装；不锈钢C式自锁接头套装；内六角扳手套装；冲凿套装；十字批头套装；太阳能4G监控套装；开口梅花扳手套装；振动电机套装；桶装水抽水器套装；水龙头花洒套装；注浆管套装	MAT-000005 水龙头花洒套装 组合：水龙头+花洒；SAFE-000058 雨衣套装 套装：是；特征：加厚；TOOL-000131 内六角扳手套装 品牌：世达；类型：六角扳手套装；TOOL-000155 液压扳手套装 品牌：恩耐克；类型：液压扳手套装；WELD-000026 电焊机套装 配置：含焊线；TOOL-000187 内六角扳手套装 品牌：世达；规格范围：1.5-10；TOOL-000188 开口梅花扳手套装 品牌：世达；规格范围：8-24；SPARE-000110 螺杆泵电机套装 功率：2.2kW；材质：不锈钢；组成：螺杆泵+电机	多个标准名称以该词结尾，形态接近物料族。
插座	插座	可人工复核为物料族	medium	24	11	11	否	电气电料/插头插座:23；电气电料/电气辅材:1	USB插座；五孔插座；五孔插座面板；变压USB插座；导轨五孔插座；快速插座；插座；插座底盒；明装插座；空调插座；航空插头插座套装	USB插座；五孔插座；五孔插座面板；变压USB插座；导轨五孔插座；快速插座；插座；插座底盒；明装插座；空调插座；航空插头插座套装	ELEC-000007 USB插座 品牌：公牛；USB电流：2.1A；ELEC-000010 五孔插座 品牌：公牛；类型：五孔；ELEC-000020 插座 品牌：公牛；电流：16A；ELEC-000023 空调插座 品牌：公牛；电流：16A；用途：空调；ELEC-000036 五孔插座 类型：五孔；ELEC-000038 变压USB插座 品牌：公牛；输入：220V；输出：36V；功能：USB；ELEC-000055 五孔插座 类型：五孔插座；ELEC-000056 插座底盒 类型：插座底盒	多个标准名称以该词结尾，形态接近物料族。
直接	直接	可人工复核为物料族	medium	24	12	4	是	管材管件阀门/直接:21；液压气动/液压接头:1；紧固件与连接件/卡扣:1；液压气动/气动接头:1	气动接头；液压接头；直接/接头；直接扣件	PPR异径直接；PPR直接；PVC直接；UPVC直接；不锈钢快拧外丝直接；内丝变径直接；内丝直接；直接扣件；镀锌内丝直接；镀锌外丝六角直接；镀锌外丝直接；高压直接	PIPE-000016 PPR异径直接 规格：32*25；类型：大小头/异径；PIPE-000348 高压直接 螺纹：M32*2；连接：内丝；PIPE-000371 PVC直接 品牌：公元；材质：PVC；规格：315；类型：直接；PIPE-000412 镀锌内丝直接 规格：4寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000413 镀锌内丝直接 规格：3寸；表面：镀锌；连接：内丝；类型：直接；PIPE-000416 PVC直接 品牌：公元；材质：PVC；直径：Φ110；类型：直接；PIPE-000417 PVC直接 品牌：公元；材质：PVC；直径：Φ75；类型：直接；PIPE-000419 内丝变径直接 规格：25变20；连接形式：内丝；类型：直接	多个标准名称以该词结尾，形态接近物料族。
开关	开关	可人工复核为物料族	medium	23	18	18	否	电气电料/开关按钮:11；电气电料/低压电器:11；电气电料/电气辅材:1	一位开关；二位开关；刀开关手柄；压力开关；四位开关；带灯按钮开关；开关；开关底盒；开关电源；总开关；按钮开关；时控开关	一位开关；二位开关；刀开关手柄；压力开关；四位开关；带灯按钮开关；开关；开关底盒；开关电源；总开关；按钮开关；时控开关	ELEC-000011 四位开关 品牌：公牛；位数：4位；ELEC-000012 一位开关 品牌：公牛；位数：1位；ELEC-000013 二位开关 品牌：公牛；位数：2位；ELEC-000029 空气开关 品牌：施耐德；极数：3P；电流：63A；ELEC-000062 一位开关 位数：1位；含底座：是；ELEC-000079 开关电源 输出电压：36V；功率：400W；ELEC-000080 总开关 电流：100A；用途：总开关；ELEC-000082 空气开关 电流：16A	多个标准名称以该词结尾，形态接近物料族。
径接头	径接头	可人工复核为物料族	medium	21	12	5	是	管材管件阀门/异径接头:7；管材管件阀门/直接:6；定制加工件/管路接头:3；液压气动/液压接头:3；管材管件阀门/变径接头:2	定制管路接头；液压接头；直接/接头；镀锌变径接头；镀锌异径接头	UPVC异径接头；不锈钢双外丝变径接头；不锈钢外丝变径接头；变径接头；异径接头；法兰异径接头；焊接变径接头；焊接异径接头；镀锌变径接头；镀锌异径接头；高压变径接头；高压外丝变径接头	PIPE-000073 UPVC异径接头 规格：32*25；材质：UPVC；类型：大小头/异径；PIPE-000078 高压变径接头 定制：是；规格：36*3+36；类型：变头；PIPE-000079 高压外丝变径接头 定制：是；规格：M36变1寸；连接：外丝；PIPE-000096 异径接头 品牌：公元；规格：40*32；类型：异径接头；PIPE-000101 焊接异径接头 规格：159*89；连接：焊接；类型：大小头；PIPE-000153 镀锌异径接头 规格：100*50；表面：镀锌；类型：大小头；PIPE-000165 焊接异径接头 规格：273*168；类型：大小头；连接：焊接；PIPE-000171 异径接头 规格：80*50；类型：大小头	多个标准名称以该词结尾，形态接近物料族。
丝套	丝套	可人工复核为物料族	medium	20	8	1	否	紧固件与连接件/螺丝:20	螺丝	T型螺丝套件；不锈钢螺丝套件；内六角螺丝套件；圆头螺丝套件；螺丝套件；镀锌螺丝套件；高强度全螺纹螺丝套件；高强度螺丝套件	FAST-000068 T型螺丝套件 螺丝规格：M16*50；套件组成：平垫+弹垫+螺母；FAST-000069 T型螺丝套件 螺丝规格：M16*100；套件组成：平垫+弹垫+螺母；FAST-000074 螺丝套件 规格：M8*20；类型：螺丝；FAST-000084 螺丝套件 强度等级：8.8；规格：M10*80；套件组成：平垫+弹垫；FAST-000087 镀锌螺丝套件 表面：镀锌；规格：M12*30；FAST-000090 螺丝套件 强度等级：8.8；规格：M16*70；表面：镀锌；套件组成：平垫+弹垫；FAST-000091 螺丝套件 强度等级：8.8；规格：M16*130；套件组成：平垫+弹垫；FAST-000093 螺丝套件 强度等级：8.8；规格：M16*60；套件组成：平垫+弹垫	覆盖数量较多且分类集中。
丝套件	丝套件	可人工复核为物料族	medium	20	8	1	否	紧固件与连接件/螺丝:20	螺丝	T型螺丝套件；不锈钢螺丝套件；内六角螺丝套件；圆头螺丝套件；螺丝套件；镀锌螺丝套件；高强度全螺纹螺丝套件；高强度螺丝套件	FAST-000068 T型螺丝套件 螺丝规格：M16*50；套件组成：平垫+弹垫+螺母；FAST-000069 T型螺丝套件 螺丝规格：M16*100；套件组成：平垫+弹垫+螺母；FAST-000074 螺丝套件 规格：M8*20；类型：螺丝；FAST-000084 螺丝套件 强度等级：8.8；规格：M10*80；套件组成：平垫+弹垫；FAST-000087 镀锌螺丝套件 表面：镀锌；规格：M12*30；FAST-000090 螺丝套件 强度等级：8.8；规格：M16*70；表面：镀锌；套件组成：平垫+弹垫；FAST-000091 螺丝套件 强度等级：8.8；规格：M16*130；套件组成：平垫+弹垫；FAST-000093 螺丝套件 强度等级：8.8；规格：M16*60；套件组成：平垫+弹垫	多个标准名称以该词结尾，形态接近物料族。
丝接	丝接	可人工复核为物料族	medium	20	9	3	是	液压气动/液压接头:15；定制加工件/管路接头:3；管材管件阀门/直接:2	定制管路接头；液压接头；直接/接头	变径对丝接头；外丝接头；对丝接头；液压对丝接头；液压高压外丝接头；镀锌外丝接头；高压内丝接头；高压外丝接头；高压对丝接头	PIPE-000140 镀锌外丝接头 规格：50*40；连接：外丝；表面：镀锌；PIPE-000164 高压外丝接头 螺纹：M36*2A；类型：外丝；PIPE-000180 外丝接头 定制：是；规格：1寸；连接：外丝；PIPE-000243 镀锌外丝接头 公称直径：DN80；连接：外丝；表面处理：镀锌；PIPE-000248 外丝接头 加工：是；规格：89；连接：外丝；PIPE-000249 外丝接头 加工：是；规格：60；连接：外丝；PIPE-000338 对丝接头 螺纹/规格：36*2；PIPE-000346 对丝接头 规格：1/2	覆盖数量较多且分类集中。
丝接头	丝接头	可人工复核为物料族	medium	20	9	3	是	液压气动/液压接头:15；定制加工件/管路接头:3；管材管件阀门/直接:2	定制管路接头；液压接头；直接/接头	变径对丝接头；外丝接头；对丝接头；液压对丝接头；液压高压外丝接头；镀锌外丝接头；高压内丝接头；高压外丝接头；高压对丝接头	PIPE-000140 镀锌外丝接头 规格：50*40；连接：外丝；表面：镀锌；PIPE-000164 高压外丝接头 螺纹：M36*2A；类型：外丝；PIPE-000180 外丝接头 定制：是；规格：1寸；连接：外丝；PIPE-000243 镀锌外丝接头 公称直径：DN80；连接：外丝；表面处理：镀锌；PIPE-000248 外丝接头 加工：是；规格：89；连接：外丝；PIPE-000249 外丝接头 加工：是；规格：60；连接：外丝；PIPE-000338 对丝接头 螺纹/规格：36*2；PIPE-000346 对丝接头 规格：1/2	多个标准名称以该词结尾，形态接近物料族。
